#               time [ns]                      <n>
   1.1705852926463233E+01   2.1672660158127306E-02
   1.1730865432716358E+01   2.1891520021362975E-02
   1.1755877938969487E+01   2.2112121844078934E-02
   1.1780890445222612E+01   2.2334466083926311E-02
   1.1805902951475739E+01   2.2558552756296764E-02
   1.1830915457728866E+01   2.2784381445655703E-02
   1.1855927963981992E+01   2.3011951317997124E-02
   1.1880940470235117E+01   2.3241261134400084E-02
   1.1905952976488246E+01   2.3472309265662312E-02
   1.1930965482741371E+01   2.3705093707985670E-02
   1.1955977988994498E+01   2.3939612099683386E-02
   1.1980990495247624E+01   2.4175861738878014E-02
   1.2006003001500751E+01   2.4413839602155329E-02
   1.2031015507753878E+01   2.4653542364137422E-02
   1.2056028014007005E+01   2.4894966417935861E-02
   1.2081040520260130E+01   2.5138107896442358E-02
   1.2106053026513258E+01   2.5382962694413990E-02
   1.2131065532766383E+01   2.5629526491305808E-02
   1.2156078039019510E+01   2.5877794774802620E-02
   1.2181090545272637E+01   2.6127762865000001E-02
   1.2206103051525764E+01   2.6379425939181803E-02
   1.2231115557778891E+01   2.6632779057139993E-02
   1.2256128064032017E+01   2.6887817186981706E-02
   1.2281140570285142E+01   2.7144535231365650E-02
   1.2306153076538271E+01   2.7402928054109425E-02
   1.2331165582791396E+01   2.7662990507107934E-02
   1.2356178089044523E+01   2.7924717457501878E-02
   1.2381190595297650E+01   2.8188103815033901E-02
   1.2406203101550776E+01   2.8453144559530300E-02
   1.2431215607803903E+01   2.8719834768443715E-02
   1.2456228114057030E+01   2.8988169644393845E-02
   1.2481240620310155E+01   2.9258144542640842E-02
   1.2506253126563283E+01   2.9529754998426954E-02
   1.2531265632816408E+01   2.9802996754121961E-02
   1.2556278139069535E+01   3.0077865786107248E-02
   1.2581290645322662E+01   3.0354358331334444E-02
   1.2606303151575789E+01   3.0632470913494188E-02
   1.2631315657828914E+01   3.0912200368732004E-02
   1.2656328164082042E+01   3.1193543870848144E-02
   1.2681340670335167E+01   3.1476498955919710E-02
   1.2706353176588294E+01   3.1761063546284080E-02
   1.2731365682841421E+01   3.2047235973824077E-02
   1.2756378189094548E+01   3.2335015002496040E-02
   1.2781390695347675E+01   3.2624399850045484E-02
   1.2806403201600801E+01   3.2915390208852043E-02
   1.2831415707853928E+01   3.3207986265853973E-02
   1.2856428214107055E+01   3.3502188721497822E-02
   1.2881440720360182E+01   3.3797998807664625E-02
   1.2906453226613307E+01   3.4095418304525796E-02
   1.2931465732866435E+01   3.4394449556282632E-02
   1.2956478239119560E+01   3.4695095485748201E-02
   1.2981490745372687E+01   3.4997359607729109E-02
   1.3006503251625816E+01   3.5301246041172817E-02
   1.3031515757878941E+01   3.5606759520042816E-02
   1.3056528264132067E+01   3.5913905402891473E-02
   1.3081540770385192E+01   3.6222689681101358E-02
   1.3106553276638321E+01   3.6533118985768102E-02
   1.3131565782891448E+01   3.6845200593203203E-02
   1.3156578289144573E+01   3.7158942429036133E-02
   1.3181590795397700E+01   3.7474353070899580E-02
   1.3206603301650828E+01   3.7791441749684102E-02
   1.3231615807903953E+01   3.8110218349353221E-02
   1.3256628314157080E+01   3.8430693405311002E-02
   1.3281640820410205E+01   3.8752878101319936E-02
   1.3306653326663334E+01   3.9076784264969230E-02
   1.3331665832916460E+01   3.9402424361695811E-02
   1.3356678339169585E+01   3.9729811487366817E-02
   1.3381690845422710E+01   4.0058959359432940E-02
   1.3406703351675841E+01   4.0389882306666028E-02
   1.3431715857928966E+01   4.0722595257499467E-02
   1.3456728364182091E+01   4.1057113726990183E-02
   1.3481740870435218E+01   4.1393453802427788E-02
   1.3506753376688346E+01   4.1731632127616054E-02
   1.3531765882941471E+01   4.2071665885858894E-02
   1.3556778389194598E+01   4.2413572781682542E-02
   1.3581790895447723E+01   4.2757371021332188E-02
   1.3606803401700851E+01   4.3103079292080820E-02
   1.3631815907953978E+01   4.3450716740393698E-02
   1.3656828414207103E+01   4.3800302948993688E-02
   1.3681840920460230E+01   4.4151857912874883E-02
   1.3706853426713359E+01   4.4505402014315590E-02
   1.3731865932966484E+01   4.4860955996943300E-02
   1.3756878439219610E+01   4.5218540938907224E-02
   1.3781890945472735E+01   4.5578178225216079E-02
   1.3806903451725864E+01   4.5939889519301419E-02
   1.3831915957978991E+01   4.6303696733866716E-02
   1.3856928464232116E+01   4.6669622001088318E-02
   1.3881940970485243E+01   4.7037687642230812E-02
